424.869	2749
424.96	2741
425.05	2743
425.14	2737
425.231	2719
425.321	2734
425.412	2714
425.502	2721
425.593	2703
425.683	2706
425.774	2646
425.864	2699
425.954	2712
426.045	2673
426.135	2693
426.226	2673
426.316	2667
426.407	2649
426.497	2677
426.588	2701
426.678	2676
426.768	2678
426.859	2712
426.949	2687
427.04	2694
427.13	2657
427.221	2702
427.311	2697
427.401	2671
427.492	2686
427.582	2755
427.673	2752
427.763	2745
427.854	2781
427.944	2737
428.034	2683
428.125	2779
428.215	2773
428.306	2804
428.396	2799
428.487	2790
428.577	2814
428.667	2799
428.758	2811
428.848	2846
428.939	2841
429.029	2853
429.12	2875
429.21	2899
429.3	2877
429.391	2885
429.481	2902
429.572	2841
429.662	2913
429.752	2929
429.843	2887
429.933	2942
430.024	2928
430.114	2910
430.204	2930
430.295	2931
430.385	2906
430.476	2897
430.566	2949
430.657	2929
430.747	2949
430.837	3022
430.928	2965
431.018	2935
431.109	2961
431.199	2931
431.289	2961
431.38	2900
431.47	2900
431.561	2971
431.651	2924
431.741	2937
431.832	2941
431.922	2949
432.013	2932
432.103	2962
432.193	2939
432.284	2915
432.374	2932
432.465	2930
432.555	2937
432.645	2967
432.736	2970
432.826	2942
432.917	2955
433.007	2977
433.097	2990
433.188	2944
433.278	2975
433.368	2971
433.459	2955
433.549	2992
433.64	2967
433.73	3041
433.82	3040
433.911	3038
434.001	3066
434.092	3014
434.182	3054
434.272	3095
434.363	3080
434.453	3097
434.543	3084
434.634	3074
434.724	3129
434.815	3144
434.905	3128
434.995	3136
435.086	3157
435.176	3103
435.266	3153
435.357	3137
435.447	3175
435.538	3202
435.628	3167
435.718	3191
435.809	3173
435.899	3200
435.989	3156
436.08	3199
436.17	3161
436.261	3209
436.351	3213
436.441	3210
436.532	3187
436.622	3217
436.712	3227
436.803	3258
436.893	3307
436.983	3266
437.074	3261
437.164	3243
437.255	3236
437.345	3261
437.435	3309
437.526	3292
437.616	3275
437.706	3273
437.797	3320
437.887	3283
437.977	3298
438.068	3297
438.158	3337
438.248	3305
438.339	3338
438.429	3359
438.52	3393
438.61	3392
438.7	3430
438.791	3405
438.881	3406
438.971	3416
439.062	3402
439.152	3458
439.242	3509
439.333	3499
439.423	3497
439.513	3512
439.604	3517
439.694	3581
439.784	3543
439.875	3586
439.965	3595
440.055	3599
440.146	3633
440.236	3631
440.326	3670
440.417	3703
440.507	3746
440.597	3734
440.688	3798
440.778	3784
440.868	3850
440.959	3829
441.049	3866
441.139	3911
441.23	3898
441.32	3932
441.41	3928
441.501	3916
441.591	3990
441.681	3990
441.772	4082
441.862	4084
441.952	4070
442.043	4109
442.133	4099
442.223	4131
442.314	4192
442.404	4155
442.494	4153
442.585	4235
442.675	4185
442.765	4316
442.856	4235
